StudentRegistrationsToDegrees 8000000:AUTOINCREASE StudentRegistrationId,INT StudentId,INT DegreeId,INT RegistrationYear
0,3560955,7978,2002
1,2220062,6963,2013
2,3460248,82,2018
3,3271356,4295,2011
4,3223001,4058,2018
5,519263,2809,2013
6,686860,1151,2018
7,3934460,4009,2011
8,3306161,2351,2005
9,3584490,6145,2010
10,2706322,844,2012
11,3149214,3708,2008
12,1822324,5910,2010
13,2649091,3818,2000
14,1882827,2083,2014
15,1361330,601,2018
16,1969514,1376,2016
17,1813677,1843,2018
18,2874362,2877,2017
